date,ticker,price,decision,reason,sentiment,rsi,confidence
2026-01-10,BTC-USDT,90504.7,hold,Neutral (score=25),0.200,51.62,0.500
2026-01-10,DOGE-USDT,0.13965,hold,Neutral (score=24),0.150,51.97,0.600
2026-01-10,DOT-USDT,2.093,hold,Neutral (score=25),0.200,53.00,0.500
2026-01-10,ETH-USDT,3086.72,hold,Neutral (score=25),0.200,51.34,0.600
2026-01-10,LTC-USDT,81.19,hold,Neutral (score=25),0.200,50.41,0.600
2026-01-10,SOL-USDT,135.84,hold,Neutral (score=30),0.400,56.62,0.650
2026-01-10,XRP-USDT,2.0907,hold,Neutral (score=9),0.150,53.98,0.550
2026-01-11,ADA-USDT,0.391,hold,Neutral (score=24),0.150,50.21,0.550
2026-01-11,BNB-USDT,904.32,hold,Neutral (score=30),0.400,57.84,0.600
2026-01-11,BTC-USDT,91013.65,hold,Neutral (score=28),0.300,53.58,0.600
2026-01-11,DOGE-USDT,0.13801,hold,Neutral (score=24),0.150,50.22,0.550
2026-01-11,DOT-USDT,2.07,hold,Neutral (score=24),0.150,51.44,0.600
2026-01-11,ETH-USDT,3123.45,hold,Neutral (score=28),0.300,54.05,0.500
2026-01-11,LTC-USDT,78.79,hold,Neutral (score=12),-0.300,43.73,0.600
2026-01-11,SOL-USDT,139.7,sell,SELL_BB: BB=0.85,0.400,61.41,0.600
2026-01-11,XRP-USDT,2.0745,hold,Neutral (score=9),0.150,52.77,0.600
2026-01-12,ADA-USDT,0.3862,buy,BUY: score=24,0.150,48.58,0.550
2026-01-12,BNB-USDT,905.78,hold,Neutral (score=30),0.400,58.30,0.600
2026-01-12,BTC-USDT,91296.2,hold,Neutral (score=28),0.300,54.68,0.650
2026-01-12,DOGE-USDT,0.13662,buy,BUY: score=24,0.150,48.72,0.550
2026-01-12,DOT-USDT,2.055,hold,Neutral (score=25),0.200,50.40,0.600
2026-01-12,ETH-USDT,3095.75,sell,"SELL_MILD: score=-6, RSI=51.7",0.150,51.71,0.600
2026-01-12,LTC-USDT,76.12,hold,Neutral (score=-4),-0.450,37.75,0.550
2026-01-12,SOL-USDT,139.22,hold,Neutral (score=27),0.600,60.51,0.700
2026-01-12,XRP-USDT,2.054,hold,Neutral (score=25),0.200,51.21,0.500
2026-01-13,ADA-USDT,0.4218,sell,SELL_BB: BB=0.88,0.400,59.15,0.600
2026-01-13,BNB-USDT,943.73,sell,SELL_BB: BB=1.01,0.600,67.97,0.650
2026-01-13,BTC-USDT,95414.0,sell,SELL_BB: BB=1.05,0.600,66.97,0.650
2026-01-13,DOGE-USDT,0.14828,hold,Neutral (score=22),0.400,59.60,0.600
2026-01-13,DOT-USDT,2.282,sell,"SELL_MILD: score=-5, RSI=62.7",0.400,62.69,0.600
2026-01-13,ETH-USDT,3325.82,sell,"SELL_MILD: score=-6, RSI=65.2",0.400,65.17,0.600
2026-01-13,LTC-USDT,78.18,sell,SELL: score=-20,-0.400,44.10,0.650
2026-01-13,SOL-USDT,145.51,sell,SELL_BB: BB=0.95,0.600,67.25,0.650
2026-01-13,XRP-USDT,2.1655,hold,Neutral (score=31),0.450,58.41,0.650
2026-01-14,ADA-USDT,0.4143,hold,Neutral (score=22),0.400,56.51,0.650
2026-01-14,BNB-USDT,948.47,sell,SELL_BB: BB=0.99,0.400,68.94,0.600
2026-01-14,BTC-USDT,96951.78,sell,SELL: score=-17,0.300,70.21,0.600
2026-01-14,DOGE-USDT,0.14718,hold,Neutral (score=22),0.400,58.34,0.600
2026-01-14,DOT-USDT,2.226,hold,Neutral (score=15),0.400,58.82,0.650
2026-01-14,ETH-USDT,3354.92,sell,SELL_BB: BB=0.99,0.400,66.45,0.600
2026-01-14,LTC-USDT,76.67,sell,"SELL_MILD: score=-13, RSI=40.8",-0.600,40.81,0.600
2026-01-14,SOL-USDT,146.69,sell,SELL_BB: BB=0.94,0.400,68.34,0.600
2026-01-14,XRP-USDT,2.1394,hold,Neutral (score=30),0.400,56.32,0.700
2026-01-15,ADA-USDT,0.3936,hold,Neutral (score=14),0.100,49.90,0.500
2026-01-15,BNB-USDT,931.2,sell,SELL_BB: BB=0.82,0.400,61.62,0.600
2026-01-15,BTC-USDT,95604.8,sell,SELL_BB: BB=0.90,0.400,64.26,0.600
2026-01-15,DOGE-USDT,0.14004,hold,Neutral (score=16),0.150,50.84,0.550
2026-01-15,DOT-USDT,2.117,hold,Neutral (score=9),0.150,52.08,0.550
2026-01-15,ETH-USDT,3318.69,sell,SELL_BB: BB=0.88,0.400,63.34,0.600
2026-01-15,LTC-USDT,72.21,hold,Neutral (score=-1),-0.650,32.99,0.600
2026-01-15,SOL-USDT,142.4,hold,Neutral (score=22),0.400,60.46,0.600
2026-01-15,XRP-USDT,2.0789,hold,Neutral (score=24),0.150,51.69,0.550
2026-01-16,ADA-USDT,0.3955,hold,Neutral (score=16),0.150,50.48,0.600
2026-01-16,BNB-USDT,938.16,sell,SELL_BB: BB=0.85,0.400,63.31,0.600
2026-01-16,BTC-USDT,95550.94,sell,SELL_BB: BB=0.86,0.350,64.02,0.600
2026-01-16,DOGE-USDT,0.13813,hold,Neutral (score=14),0.100,49.03,0.500
2026-01-16,DOT-USDT,2.119,hold,Neutral (score=10),0.200,52.19,0.500
2026-01-16,ETH-USDT,3296.28,sell,SELL_BB: BB=0.80,0.400,61.43,0.600
2026-01-16,LTC-USDT,75.22,sell,SELL: score=-16,-0.400,41.18,0.500
2026-01-16,SOL-USDT,144.89,sell,SELL_BB: BB=0.82,0.400,63.12,0.600
2026-01-16,XRP-USDT,2.0678,sell,"SELL_MILD: score=-14, RSI=50.9",-0.150,50.86,0.600
2026-01-17,ADA-USDT,0.3973,hold,Neutral (score=17),0.200,51.05,0.500
2026-01-17,BNB-USDT,947.12,sell,SELL_BB: BB=0.88,0.400,65.43,0.600
2026-01-17,BTC-USDT,95147.77,hold,Neutral (score=22),0.400,62.20,0.600
